# p31 sites — machine-readable ledger (tools/string_sites.py --p31-tsv); consumed by lower.py --strings-sites
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=1d3baaf6487a8e3faf4c900e49dbcaae6ddbe1e7f996a47b161c74b502b43477
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir
7015F2AC	WCMV	7015F27A	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+14)]+48) is not a constant or a length word		
7015F2F6	WCMV	7015F2ED	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F2ED 7015F2EF 7015F2F0 7015F2F2 7015F2F4	[@wp(ac3, 14), 42 varying] = [@0x7015D3E5:0, "\x0A\x0BYou cannot concentrate while in battle!\x0A"]
7015F39A	WCMV	7015F391	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F391 7015F393 7015F394 7015F396 7015F398	[@wp(ac3, 74), 59 varying] = [@0x7015D3C7:0, "\x0A\x0BChanging the weather requires all of your concentration.\x0A"]
7015F406	WCMV	7015F3F0	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F3FD 7015F3FF 7015F400 7015F402 7015F404	[@wp(ac3, 14), 37 varying] = [@0x7015D3B3:0, "\x0A\x0BYou have weakened the being by 20%\x0A"]
7015F4CF	WCMV	7015F4B9	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F4C6 7015F4C8 7015F4C9 7015F4CB 7015F4CD	[@wp(ac3, 14), 38 varying] = [@0x7015D39F:0, "\x0A\x0BYou'll have to do better than that!\x0A"]
7015F51E	WCMV	7015F515	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F515 7015F517 7015F518 7015F51A 7015F51C	[@wp(ac3, 14), 38 varying] = [@0x7015D38B:0, "\x0A\x0BThe spell does not have any effect!\x0A"]
7015F5C0	WCMV	7015F5B7	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F5B7 7015F5B9 7015F5BA 7015F5BC 7015F5BE	[@wp(ac3, 14), 37 varying] = [@0x7015D377:0, "\x0A\x0BYou cannot create a fog in a cave!\x0A"]
7015F644	WCMV	7015F63B	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F63B 7015F63D 7015F63E 7015F640 7015F642	[@wp(ac3, 14), 51 varying] = [@0x7015D35D:0, "\x0A\x0BThe world cannot take any more fog at this time!\x0A"]
7015F66A	WCMV	7015F661	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F661 7015F663 7015F664 7015F666 7015F668	[@wp(ac3, 14), 33 varying] = [@0x7015D34B:0, "\x0A\x0BNot a prayer of charming that!\x0A"]
7015F718	WCMV	7015F70F	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F70F 7015F711 7015F712 7015F714 7015F716	[@wp(ac3, 14), 53 varying] = [@0x7015D32F:0, "\x0A\x0BThe being has been charmed!\x0AWhat will you name it? "]
7015F75E	WCMV	7015F755	ATTACK	ASSIGN-STR-VARYING-PAD	b	EMIT			7015F755 7015F757 7015F759 7015F75B	[@((sx16(M16[0x70000216]) * 686) + M32[0x70000210] + 23), 30 varying] = [@0x7000021C, varying]
7015F8A9	WCMV	7015F895	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F89F 7015F8A1 7015F8A3 7015F8A5 7015F8A7	[@wp(ac3, 14), 27 varying] = [@0x7015D321:0, "\x0A\x0BThe spell has no effect!\x0A"]
